review_id,rating,title,content,review_date,is_deleted,deleted_date,ticket_id
218,3,Worth it,Everything was well organized and enjoyable.,2024-11-23,false,,14115
219,3,Could be better,"Some parts were good, but there is room for improvement.",2024-12-01,true,2025-03-27,16801
220,3,Amazing,The attraction was interesting and worth the price.,2024-03-24,true,2025-03-09,746
221,4,Nice place,"Some parts were good, but there is room for improvement.",2024-07-29,true,2025-03-31,1357
222,5,Amazing,It was too crowded and not as expected.,2024-09-14,true,2025-03-29,17159
223,5,Amazing,I would recommend this place to others.,2024-05-28,true,2025-03-12,16187
224,5,Nice place,A nice attraction for families and children.,2024-08-23,true,2025-03-22,18068
225,3,Could be better,The place was clean and the staff were helpful.,2024-05-31,true,2025-03-20,2387
226,3,Great for families,"Some parts were good, but there is room for improvement.",2024-07-22,true,2025-03-26,8197
227,5,Great for families,The attraction was interesting and worth the price.,2024-11-30,false,,1353
228,3,Great for families,"Some parts were good, but there is room for improvement.",2025-01-02,false,,10564
229,5,Amazing,Everything was well organized and enjoyable.,2024-07-10,false,,692
230,3,Amazing,The place was clean and the staff were helpful.,2024-09-07,true,2025-03-09,10825
231,3,Nice place,I would recommend this place to others.,2024-05-21,true,2025-03-18,18300
232,5,Fun day,I expected more from the experience.,2024-06-05,true,2025-03-19,7408
233,5,Amazing,The attraction was interesting and worth the price.,2024-11-10,true,2025-03-02,3742
234,2,Great for families,Everything was well organized and enjoyable.,2024-01-18,false,,5807
235,1,Not bad,It was too crowded and not as expected.,2025-02-25,true,2025-03-23,4372
236,1,Great for families,The place was clean and the staff were helpful.,2024-09-23,false,,2859
237,5,Not bad,The attraction was interesting and worth the price.,2024-06-01,true,2025-03-18,16001
238,3,Disappointing,The attraction was interesting and worth the price.,2025-02-18,true,2025-03-30,2318
239,3,Highly recommended,"Some parts were good, but there is room for improvement.",2024-11-05,false,,18009
240,1,Disappointing,I would recommend this place to others.,2024-02-10,true,2025-03-25,1709
241,1,Not bad,I expected more from the experience.,2025-02-21,false,,16212
242,3,Great for families,"Some parts were good, but there is room for improvement.",2024-04-16,false,,12360
243,3,Could be better,"Some parts were good, but there is room for improvement.",2024-04-10,true,2025-03-23,14605
244,2,Worth it,It was too crowded and not as expected.,2025-02-14,false,,14450
245,2,Great for families,The visit was fun and memorable.,2024-10-31,false,,15520
246,3,Fun day,I would recommend this place to others.,2024-01-19,false,,6252
247,1,Nice place,I expected more from the experience.,2024-07-16,false,,17769
248,2,Great for families,I expected more from the experience.,2024-07-07,false,,665
249,3,Disappointing,The place was clean and the staff were helpful.,2024-03-06,true,2025-03-30,9487
250,3,Worth it,Everything was well organized and enjoyable.,2024-03-15,true,2025-03-06,8350
251,3,Very good,The place was clean and the staff were helpful.,2024-10-17,false,,97
252,5,Disappointing,The attraction was interesting and worth the price.,2024-07-05,false,,4379
253,3,Very good,I expected more from the experience.,2024-09-30,false,,11867
254,5,Worth it,"Some parts were good, but there is room for improvement.",2024-08-24,false,,7051
255,4,Nice place,It was too crowded and not as expected.,2025-01-05,true,2025-03-05,19184
256,4,Nice place,A nice attraction for families and children.,2024-08-03,true,2025-03-13,8399
257,2,Worth it,Everything was well organized and enjoyable.,2024-12-14,false,,14481
258,3,Could be better,I had a good experience overall.,2025-02-26,false,,2738
259,3,Amazing,A nice attraction for families and children.,2024-11-01,false,,14771
260,4,Disappointing,A nice attraction for families and children.,2025-02-24,false,,10096
261,1,Fun day,I would recommend this place to others.,2024-06-25,true,2025-03-28,10795
262,2,Disappointing,"Some parts were good, but there is room for improvement.",2024-04-10,false,,4256
263,2,Worth it,The attraction was interesting and worth the price.,2025-02-03,false,,3040
264,3,Could be better,A nice attraction for families and children.,2024-11-04,false,,5427
265,5,Fun day,I would recommend this place to others.,2024-11-02,false,,13649
266,5,Could be better,"Some parts were good, but there is room for improvement.",2024-06-18,true,2025-03-17,2096
267,2,Worth it,A nice attraction for families and children.,2025-01-22,true,2025-03-30,10256
268,2,Amazing,I had a good experience overall.,2024-12-29,true,2025-04-01,19777
269,2,Fun day,I had a good experience overall.,2024-04-30,true,2025-03-02,859
270,2,Highly recommended,Everything was well organized and enjoyable.,2024-07-31,false,,11520
271,2,Very good,A nice attraction for families and children.,2024-07-06,false,,18623
272,2,Very good,Everything was well organized and enjoyable.,2024-05-12,false,,13848
273,4,Fun day,"Some parts were good, but there is room for improvement.",2024-05-22,false,,7672
274,4,Amazing,The attraction was interesting and worth the price.,2025-03-01,false,,12769
275,5,Could be better,I had a good experience overall.,2024-08-09,true,2025-03-24,2032
276,2,Highly recommended,I expected more from the experience.,2024-03-18,true,2025-03-25,17229
277,2,Worth it,A nice attraction for families and children.,2024-03-05,false,,4057
278,3,Great for families,The attraction was interesting and worth the price.,2024-12-29,false,,18857
279,3,Amazing,The place was clean and the staff were helpful.,2024-09-02,false,,18282
280,5,Very good,It was too crowded and not as expected.,2024-09-04,true,2025-03-15,640
281,2,Highly recommended,"Some parts were good, but there is room for improvement.",2025-02-08,true,2025-03-02,2788
282,3,Great for families,I had a good experience overall.,2024-11-02,false,,6225
283,1,Disappointing,The attraction was interesting and worth the price.,2024-03-01,false,,15911
284,4,Not bad,The place was clean and the staff were helpful.,2024-08-17,false,,7289
285,1,Very good,The attraction was interesting and worth the price.,2024-05-17,true,2025-03-24,1503
286,2,Great for families,It was too crowded and not as expected.,2025-02-21,true,2025-03-16,10902
287,4,Not bad,I had a good experience overall.,2024-10-19,false,,16602
288,4,Very good,The attraction was interesting and worth the price.,2024-10-08,false,,16343
289,1,Nice place,A nice attraction for families and children.,2025-01-24,false,,16570
290,1,Nice place,Everything was well organized and enjoyable.,2024-11-03,true,2025-03-20,13101
291,3,Great for families,I expected more from the experience.,2024-12-12,true,2025-03-12,19137
292,4,Fun day,The visit was fun and memorable.,2024-09-25,true,2025-03-08,5931
293,3,Disappointing,The visit was fun and memorable.,2024-04-08,true,2025-03-29,11376
294,1,Great for families,I had a good experience overall.,2025-01-10,true,2025-03-12,16239
295,3,Very good,Everything was well organized and enjoyable.,2025-02-03,false,,13815
296,5,Highly recommended,I expected more from the experience.,2024-07-01,false,,17395
297,2,Highly recommended,I expected more from the experience.,2024-05-20,true,2025-03-14,1679
298,5,Very good,The place was clean and the staff were helpful.,2024-02-27,false,,3670
299,5,Amazing,I had a good experience overall.,2024-09-15,false,,16472
300,5,Highly recommended,A nice attraction for families and children.,2024-03-31,true,2025-03-12,5591
301,3,Not bad,A nice attraction for families and children.,2024-01-26,false,,9651
302,2,Amazing,A nice attraction for families and children.,2024-08-05,true,2025-03-23,16191
303,3,Worth it,I would recommend this place to others.,2025-01-03,true,2025-03-29,1075
304,5,Could be better,The attraction was interesting and worth the price.,2024-05-11,true,2025-03-29,19249
305,3,Not bad,It was too crowded and not as expected.,2024-04-12,false,,1767
306,4,Disappointing,Everything was well organized and enjoyable.,2024-07-20,false,,9076
307,2,Not bad,"Some parts were good, but there is room for improvement.",2025-02-01,false,,18853
308,5,Nice place,I had a good experience overall.,2024-04-21,true,2025-03-31,1201
309,2,Highly recommended,I expected more from the experience.,2024-01-06,false,,2014
310,5,Could be better,"Some parts were good, but there is room for improvement.",2024-10-12,true,2025-03-26,17999
311,3,Not bad,The attraction was interesting and worth the price.,2024-01-16,true,2025-03-27,17470
312,5,Worth it,"Some parts were good, but there is room for improvement.",2024-01-10,false,,13826
313,4,Could be better,I expected more from the experience.,2024-11-05,true,2025-03-19,13994
314,4,Disappointing,The visit was fun and memorable.,2024-12-05,false,,18628
315,2,Worth it,The visit was fun and memorable.,2024-07-05,true,2025-03-07,15806
316,2,Nice place,The attraction was interesting and worth the price.,2024-03-24,true,2025-03-05,185
317,2,Not bad,The visit was fun and memorable.,2024-02-21,true,2025-03-20,14583
318,2,Great for families,It was too crowded and not as expected.,2024-09-05,true,2025-03-23,6120
319,1,Very good,I would recommend this place to others.,2025-01-25,false,,5674
320,1,Great for families,"Some parts were good, but there is room for improvement.",2024-08-31,true,2025-03-23,15456
321,1,Highly recommended,It was too crowded and not as expected.,2024-04-25,true,2025-03-05,16195
322,1,Great for families,I expected more from the experience.,2025-01-28,true,2025-03-18,4832
323,2,Not bad,The attraction was interesting and worth the price.,2024-06-09,true,2025-04-01,16164
324,1,Nice place,I expected more from the experience.,2024-04-22,false,,9035
325,5,Could be better,It was too crowded and not as expected.,2025-01-11,false,,7245
326,2,Very good,"Some parts were good, but there is room for improvement.",2024-07-05,true,2025-03-25,14225
327,3,Could be better,The visit was fun and memorable.,2024-12-17,false,,369
328,3,Nice place,The place was clean and the staff were helpful.,2024-12-10,false,,15635
329,2,Amazing,Everything was well organized and enjoyable.,2024-09-22,false,,11288
330,2,Highly recommended,The attraction was interesting and worth the price.,2024-07-01,false,,12050
331,3,Great for families,I had a good experience overall.,2024-07-13,true,2025-03-31,18197
332,4,Worth it,The place was clean and the staff were helpful.,2025-02-23,false,,266
333,2,Amazing,Everything was well organized and enjoyable.,2024-12-01,false,,15757
334,2,Disappointing,The visit was fun and memorable.,2024-02-19,true,2025-03-19,8094
335,2,Worth it,I had a good experience overall.,2025-01-26,false,,3781
336,5,Disappointing,A nice attraction for families and children.,2024-01-15,true,2025-03-19,4459
337,2,Nice place,The place was clean and the staff were helpful.,2024-12-07,false,,8654
338,5,Not bad,The visit was fun and memorable.,2024-05-29,false,,8332
339,1,Great for families,The attraction was interesting and worth the price.,2024-02-29,false,,12168
340,4,Disappointing,I would recommend this place to others.,2025-01-08,false,,17239
341,4,Amazing,I expected more from the experience.,2024-10-20,false,,14644
342,5,Not bad,The visit was fun and memorable.,2024-11-08,true,2025-03-20,8796
343,4,Nice place,I would recommend this place to others.,2024-08-19,true,2025-03-30,6917
344,4,Amazing,The attraction was interesting and worth the price.,2024-08-25,true,2025-03-31,14648
345,2,Amazing,I would recommend this place to others.,2025-02-07,true,2025-04-01,14077
346,3,Very good,"Some parts were good, but there is room for improvement.",2024-10-24,false,,6094
347,3,Great for families,The place was clean and the staff were helpful.,2024-05-07,true,2025-03-05,10786
348,1,Could be better,It was too crowded and not as expected.,2024-04-10,false,,1010
349,4,Very good,"Some parts were good, but there is room for improvement.",2024-11-06,false,,620
350,3,Amazing,It was too crowded and not as expected.,2024-01-14,false,,10888
351,2,Worth it,"Some parts were good, but there is room for improvement.",2025-01-25,true,2025-03-18,1364
352,1,Amazing,I expected more from the experience.,2024-12-08,false,,3552
353,2,Worth it,It was too crowded and not as expected.,2024-03-25,true,2025-03-22,4757
354,3,Highly recommended,"Some parts were good, but there is room for improvement.",2024-01-06,true,2025-03-14,9852
355,5,Very good,I would recommend this place to others.,2024-05-20,true,2025-03-12,14846
356,4,Very good,I had a good experience overall.,2024-04-30,true,2025-03-20,9525
357,2,Nice place,"Some parts were good, but there is room for improvement.",2024-12-05,true,2025-03-26,3317
358,2,Not bad,"Some parts were good, but there is room for improvement.",2024-08-12,false,,13468
359,5,Great for families,A nice attraction for families and children.,2024-07-07,true,2025-03-08,8341
360,3,Great for families,Everything was well organized and enjoyable.,2024-03-26,false,,10589
361,1,Not bad,I had a good experience overall.,2025-01-03,false,,6679
362,3,Not bad,The visit was fun and memorable.,2024-02-16,false,,15205
363,5,Could be better,The visit was fun and memorable.,2024-04-27,false,,11963
364,1,Highly recommended,The place was clean and the staff were helpful.,2024-10-07,true,2025-03-22,10434
