ticket_id,purchase_date,visit_date,price,ticket_status,customer_id,attraction_id
58,2024-03-26,2024-04-03,83.61,cancelled,31,483
59,2024-03-22,2024-03-29,219.69,cancelled,248,411
60,2024-10-18,2024-12-01,230.32,cancelled,195,399
61,2024-07-02,2024-08-11,33.83,cancelled,451,430
62,2024-03-07,2024-04-07,461.79,active,455,211
63,2024-08-13,2024-08-16,50.4,cancelled,161,7
64,2024-09-25,2024-11-14,376.94,cancelled,290,115
65,2024-06-22,2024-07-26,271.09,cancelled,317,49
66,2024-08-09,2024-09-21,368.79,used,178,340
67,2024-07-16,2024-07-26,422.74,cancelled,457,314
68,2024-01-28,2024-01-29,328.83,active,259,435
69,2024-08-28,2024-10-22,258.0,active,39,385
70,2024-09-08,2024-09-29,135.63,used,26,260
71,2024-04-24,2024-05-30,328.79,used,419,121
72,2024-02-10,2024-03-11,233.21,cancelled,230,46
73,2024-09-12,2024-10-11,171.71,used,382,335
74,2024-01-10,2024-01-17,213.65,active,286,282
75,2024-01-01,2024-02-23,63.63,cancelled,494,317
76,2024-06-04,2024-07-31,264.0,active,336,344
77,2024-08-21,2024-09-12,194.4,active,419,115
78,2024-08-20,2024-09-11,288.87,cancelled,308,243
79,2024-07-05,2024-08-20,237.22,active,389,338
80,2024-04-23,2024-04-24,183.85,cancelled,494,410
81,2024-05-29,2024-07-04,270.55,cancelled,55,24
82,2024-03-25,2024-04-26,87.42,cancelled,381,370
83,2024-07-28,2024-08-04,142.06,active,97,62
84,2024-07-20,2024-08-03,239.38,active,367,174
85,2024-02-25,2024-04-14,218.95,cancelled,429,345
86,2024-03-04,2024-04-23,448.04,used,338,302
87,2024-09-15,2024-09-24,482.65,active,272,377
88,2024-01-25,2024-03-01,468.95,cancelled,248,474
89,2024-09-17,2024-11-06,462.16,active,355,297
90,2024-03-29,2024-05-15,411.32,active,199,337
91,2024-06-13,2024-07-16,443.07,used,312,469
92,2024-05-07,2024-05-25,210.98,used,497,151
93,2024-08-19,2024-10-10,84.02,used,309,359
94,2024-09-19,2024-10-09,424.68,cancelled,441,161
95,2024-10-10,2024-11-20,124.32,active,320,366
96,2024-05-28,2024-07-11,185.74,cancelled,68,364
97,2024-04-01,2024-05-04,280.4,cancelled,166,364
98,2024-02-29,2024-04-18,189.07,used,299,293
99,2024-08-01,2024-09-14,378.98,cancelled,147,450
100,2024-08-04,2024-09-25,26.13,active,13,196
101,2024-03-15,2024-03-19,341.72,active,137,385
102,2024-03-23,2024-04-11,348.03,active,430,32
103,2024-05-31,2024-06-14,381.73,active,184,417
104,2024-08-19,2024-08-26,315.73,cancelled,379,288
105,2024-04-24,2024-06-11,330.62,used,122,262
106,2024-05-27,2024-07-11,338.96,used,199,214
107,2024-06-09,2024-07-15,45.83,cancelled,129,104
108,2024-08-14,2024-10-07,128.26,cancelled,361,364
109,2024-07-07,2024-08-25,302.42,cancelled,309,101
110,2024-04-09,2024-04-28,235.43,cancelled,39,96
111,2024-03-29,2024-05-16,266.65,used,21,220
112,2024-05-22,2024-06-27,146.84,active,300,434
113,2024-05-10,2024-05-11,178.67,cancelled,480,80
114,2024-01-21,2024-01-31,465.74,cancelled,27,397
115,2024-06-03,2024-07-05,399.16,cancelled,184,38
116,2024-06-11,2024-07-15,125.58,active,267,35
117,2024-09-15,2024-09-26,219.65,cancelled,207,48
118,2024-06-27,2024-07-12,444.03,cancelled,170,170
119,2024-07-03,2024-07-22,124.85,cancelled,272,244
120,2024-10-14,2024-12-06,381.02,cancelled,5,59
121,2024-06-26,2024-07-25,135.37,cancelled,315,471
122,2024-05-04,2024-05-07,347.62,used,196,469
123,2024-02-28,2024-03-24,143.16,cancelled,145,13
124,2024-09-21,2024-11-13,389.84,cancelled,412,261
125,2024-08-16,2024-09-17,41.05,cancelled,99,165
126,2024-09-20,2024-09-26,475.14,active,498,490
127,2024-10-02,2024-11-06,23.52,active,108,344
128,2024-04-19,2024-06-14,348.99,active,106,276
129,2024-08-10,2024-09-21,412.04,active,383,352
130,2024-03-19,2024-03-21,240.43,used,20,45
131,2024-02-07,2024-02-11,105.44,used,286,37
132,2024-10-21,2024-12-13,129.27,used,209,199
133,2024-08-18,2024-09-28,214.14,used,9,200
134,2024-03-01,2024-04-05,22.83,cancelled,317,33
135,2024-10-26,2024-10-29,356.42,active,184,476
136,2024-09-14,2024-09-21,159.12,cancelled,155,311
137,2024-02-14,2024-03-04,387.33,used,196,203
138,2024-01-16,2024-02-16,95.04,active,70,383
139,2024-07-19,2024-09-08,402.79,cancelled,152,492
140,2024-03-14,2024-04-03,345.1,cancelled,332,192
141,2024-01-06,2024-02-11,439.89,active,64,22
142,2024-01-03,2024-02-09,306.39,cancelled,281,485
143,2024-02-13,2024-03-04,120.83,cancelled,463,372
144,2024-06-25,2024-07-09,218.07,cancelled,436,263
145,2024-03-13,2024-03-24,108.32,cancelled,428,130
146,2024-04-09,2024-04-17,107.05,cancelled,437,28
147,2024-10-08,2024-11-07,329.44,active,149,344
148,2024-02-04,2024-02-21,67.14,cancelled,298,250
149,2024-06-18,2024-07-11,81.54,cancelled,121,52
150,2024-05-25,2024-07-04,53.51,active,163,249
151,2024-08-18,2024-09-09,315.84,used,356,300
152,2024-03-19,2024-04-25,292.09,used,491,220
153,2024-03-27,2024-03-28,170.34,active,365,379
154,2024-08-11,2024-08-29,423.25,active,348,376
155,2024-06-18,2024-08-14,250.38,used,184,397
156,2024-06-05,2024-07-07,284.8,active,331,311
157,2024-02-11,2024-04-05,154.7,active,457,276
158,2024-04-10,2024-04-27,372.1,cancelled,40,373
159,2024-02-08,2024-04-06,28.94,cancelled,324,16
160,2024-10-24,2024-12-01,214.46,cancelled,109,465
161,2024-01-19,2024-02-24,145.1,cancelled,242,335
162,2024-03-17,2024-04-10,208.4,cancelled,376,439
163,2024-05-28,2024-06-06,243.06,cancelled,47,204
164,2024-07-05,2024-08-07,25.08,active,435,494
165,2024-03-25,2024-05-13,266.79,used,82,92
166,2024-10-16,2024-11-22,336.52,active,377,375
167,2024-09-04,2024-09-27,39.4,used,119,33
168,2024-05-15,2024-06-08,132.33,cancelled,106,266
169,2024-07-03,2024-07-28,245.44,used,452,24
170,2024-01-21,2024-03-03,175.55,cancelled,496,267
171,2024-05-20,2024-07-13,376.12,cancelled,279,292
172,2024-03-30,2024-04-24,333.76,used,301,335
173,2024-02-09,2024-03-14,140.76,active,265,208
174,2024-06-29,2024-08-21,436.51,used,406,247
175,2024-01-04,2024-02-06,443.38,used,85,118
176,2024-02-09,2024-03-13,328.87,active,77,96
177,2024-03-21,2024-04-14,308.97,active,339,118
178,2024-07-31,2024-09-21,178.51,active,247,346
179,2024-09-02,2024-10-03,121.14,active,332,427
180,2024-07-29,2024-07-31,136.96,active,294,304
181,2024-03-23,2024-04-01,322.18,active,457,294
182,2024-03-16,2024-03-20,99.84,active,265,491
183,2024-07-26,2024-09-03,485.24,cancelled,10,450
184,2024-05-25,2024-05-31,123.96,cancelled,242,445
185,2024-09-03,2024-09-14,125.29,used,308,74
186,2024-10-25,2024-12-17,388.4,cancelled,338,262
187,2024-05-15,2024-05-26,367.61,used,473,233
188,2024-02-05,2024-02-20,201.54,active,56,9
189,2024-04-13,2024-05-17,432.6,cancelled,351,215
190,2024-03-17,2024-04-25,66.22,used,462,315
191,2024-01-20,2024-03-17,396.26,cancelled,386,61
192,2024-02-17,2024-03-19,336.51,cancelled,277,424
193,2024-01-01,2024-02-28,470.11,cancelled,333,221
194,2024-09-24,2024-10-21,197.78,active,358,272
195,2024-08-07,2024-08-22,470.44,used,405,394
196,2024-07-14,2024-08-06,302.74,cancelled,465,390
197,2024-10-21,2024-10-28,224.23,used,245,393
198,2024-04-29,2024-06-27,432.35,used,307,449
199,2024-10-05,2024-11-01,143.75,active,364,381
200,2024-01-04,2024-02-10,270.82,cancelled,4,193
201,2024-04-15,2024-05-30,406.06,used,186,55
202,2024-03-20,2024-04-17,332.76,used,134,438
203,2024-10-01,2024-10-29,291.04,cancelled,142,349
204,2024-07-22,2024-09-09,117.77,cancelled,402,286
205,2024-09-04,2024-09-16,197.7,cancelled,248,130
206,2024-06-06,2024-07-13,185.29,cancelled,204,377
207,2024-03-11,2024-05-05,434.64,active,383,118
208,2024-08-16,2024-10-06,355.67,active,52,110
209,2024-09-17,2024-10-13,397.32,cancelled,315,357
210,2024-01-27,2024-02-07,206.77,cancelled,3,412
211,2024-02-16,2024-04-09,89.76,cancelled,223,46
212,2024-02-02,2024-02-19,126.45,active,312,20
213,2024-07-15,2024-09-13,492.54,cancelled,336,267
214,2024-05-26,2024-07-11,482.49,active,485,397
215,2024-03-30,2024-05-10,257.3,active,104,436
216,2024-09-22,2024-10-11,113.48,cancelled,262,265
217,2024-04-28,2024-06-07,101.35,active,185,123
218,2024-01-01,2024-01-12,61.68,used,400,205
219,2024-06-29,2024-08-11,209.67,cancelled,103,266
220,2024-01-08,2024-02-25,357.74,active,282,146
221,2024-10-13,2024-12-11,299.81,used,494,418
222,2024-05-21,2024-06-05,311.05,active,233,477
223,2024-07-25,2024-08-31,22.23,active,209,260
224,2024-02-24,2024-03-31,54.75,used,175,485
225,2024-02-29,2024-04-21,266.38,used,449,276
226,2024-10-21,2024-11-07,353.21,used,289,248
227,2024-05-04,2024-06-22,183.04,used,349,236
228,2024-10-27,2024-12-22,33.13,active,133,35
229,2024-07-14,2024-08-24,398.55,active,347,360
230,2024-04-27,2024-06-18,171.55,used,265,275
231,2024-01-05,2024-02-19,419.44,active,148,48
232,2024-07-23,2024-09-05,379.42,used,39,284
233,2024-04-01,2024-05-02,170.66,active,458,294
234,2024-05-17,2024-05-29,474.62,cancelled,477,466
235,2024-04-07,2024-05-09,373.81,active,377,124
236,2024-05-15,2024-05-29,130.02,active,429,317
237,2024-07-01,2024-07-11,393.89,active,472,41
238,2024-09-09,2024-10-19,23.18,cancelled,491,22
239,2024-09-03,2024-09-27,317.92,used,460,452
240,2024-10-21,2024-12-16,151.87,active,392,469
241,2024-09-18,2024-10-06,210.98,cancelled,66,28
242,2024-09-26,2024-11-17,223.12,cancelled,17,258
243,2024-06-26,2024-07-22,432.99,active,235,500
244,2024-03-02,2024-04-16,268.74,used,353,5
245,2024-01-07,2024-02-20,121.16,cancelled,52,167
246,2024-07-04,2024-08-13,433.68,active,281,135
247,2024-05-01,2024-05-19,246.25,cancelled,176,188
248,2024-04-04,2024-05-06,223.49,used,359,386
249,2024-07-09,2024-08-02,430.08,used,231,93
250,2024-10-19,2024-10-28,490.05,cancelled,118,417
251,2024-02-21,2024-04-08,149.58,active,285,222
252,2024-07-14,2024-07-27,90.0,cancelled,77,243
253,2024-01-05,2024-01-17,222.33,active,458,435
254,2024-09-21,2024-10-26,365.87,used,154,129
255,2024-10-14,2024-12-08,292.56,used,51,354
256,2024-03-24,2024-03-28,123.42,used,244,430
257,2024-02-19,2024-03-19,377.4,used,185,185
258,2024-10-13,2024-11-18,467.29,used,177,11
259,2024-07-29,2024-08-06,188.52,cancelled,494,311
260,2024-04-11,2024-05-18,296.43,cancelled,276,90
261,2024-05-25,2024-06-17,176.04,cancelled,250,397
262,2024-08-16,2024-10-12,57.64,cancelled,147,238
263,2024-03-15,2024-05-10,100.44,used,216,324
264,2024-10-19,2024-11-14,427.47,active,41,83
265,2024-06-24,2024-07-09,170.47,cancelled,150,364
266,2024-05-16,2024-06-24,329.43,used,455,228
267,2024-07-04,2024-08-21,301.72,used,212,86
268,2024-04-04,2024-05-29,31.09,cancelled,121,339
269,2024-05-08,2024-06-25,356.33,active,108,86
270,2024-07-22,2024-07-29,65.87,used,281,28
271,2024-01-14,2024-03-04,210.57,active,54,135
272,2024-03-20,2024-03-26,334.32,used,159,118
273,2024-05-06,2024-06-23,156.4,cancelled,65,68
274,2024-09-26,2024-11-19,101.89,active,340,183
275,2024-06-15,2024-08-10,248.55,cancelled,479,140
276,2024-10-07,2024-11-05,84.86,cancelled,277,91
277,2024-08-21,2024-10-01,379.48,cancelled,223,269
278,2024-09-30,2024-10-20,456.28,used,277,117
279,2024-02-15,2024-03-15,167.78,used,134,80
280,2024-06-04,2024-06-05,20.04,active,177,147
281,2024-08-28,2024-10-02,23.99,used,485,387
282,2024-09-01,2024-09-21,24.38,used,409,150
283,2024-04-28,2024-06-18,23.46,used,97,211
284,2024-10-14,2024-11-11,209.48,active,367,378
285,2024-07-18,2024-09-10,201.61,used,41,217
286,2024-05-02,2024-06-05,386.98,cancelled,414,356
287,2024-05-19,2024-06-07,331.26,cancelled,415,138
288,2024-07-30,2024-08-12,429.67,active,70,149
289,2024-02-26,2024-04-07,238.56,used,140,359
290,2024-09-08,2024-09-21,173.91,active,26,497
291,2024-09-30,2024-10-02,109.25,active,145,138
292,2024-03-05,2024-04-20,230.44,active,120,47
293,2024-03-18,2024-03-19,256.92,used,216,160
294,2024-09-12,2024-10-06,242.57,active,170,42
295,2024-03-15,2024-03-19,147.92,used,37,279
296,2024-08-28,2024-09-09,112.25,used,419,196
297,2024-01-07,2024-01-15,487.81,cancelled,128,198
298,2024-08-14,2024-08-30,374.06,active,102,236
299,2024-02-18,2024-03-23,339.68,active,243,200
300,2024-06-08,2024-08-07,175.07,cancelled,373,22
301,2024-10-08,2024-11-11,78.63,used,327,153
302,2024-04-11,2024-05-05,446.01,cancelled,112,499
303,2024-02-27,2024-03-14,323.8,used,8,86
304,2024-05-21,2024-06-28,77.43,active,5,497
305,2024-01-22,2024-02-29,396.07,used,353,306
306,2024-03-20,2024-04-13,389.98,active,81,256
307,2024-02-16,2024-03-31,316.95,cancelled,31,31
308,2024-07-01,2024-08-12,93.88,cancelled,406,55
309,2024-03-05,2024-04-06,131.68,cancelled,404,331
310,2024-06-26,2024-08-17,448.06,cancelled,99,11
311,2024-07-12,2024-08-04,367.71,used,461,21
312,2024-09-05,2024-10-21,230.0,used,278,357
313,2024-09-07,2024-09-20,292.02,cancelled,179,166
314,2024-08-27,2024-09-14,436.48,cancelled,469,441
315,2024-10-10,2024-10-21,53.06,active,231,152
316,2024-05-14,2024-06-18,196.21,active,398,327
317,2024-09-16,2024-10-11,372.16,active,318,439
318,2024-07-05,2024-08-24,317.69,used,370,33
319,2024-10-02,2024-11-24,206.0,cancelled,350,255
320,2024-10-09,2024-10-19,314.26,used,210,329
321,2024-06-13,2024-06-21,66.2,cancelled,35,23
322,2024-03-07,2024-03-19,439.28,active,55,249
323,2024-04-08,2024-04-15,35.27,cancelled,429,199
324,2024-09-07,2024-10-11,319.51,cancelled,132,26
325,2024-07-06,2024-07-21,310.86,active,7,477
326,2024-04-16,2024-05-28,255.87,active,240,411
327,2024-02-01,2024-02-25,287.85,used,421,189
328,2024-01-30,2024-03-23,316.13,cancelled,21,376
329,2024-02-06,2024-03-31,165.87,active,492,266
330,2024-02-19,2024-02-26,368.08,cancelled,198,98
331,2024-04-08,2024-05-12,335.3,cancelled,321,486
332,2024-04-01,2024-05-07,379.61,used,383,55
333,2024-10-22,2024-11-14,343.76,cancelled,341,219
334,2024-02-23,2024-03-05,400.38,cancelled,206,259
335,2024-06-21,2024-08-03,95.92,cancelled,227,478
336,2024-06-29,2024-08-26,171.27,used,433,191
337,2024-07-30,2024-09-17,323.96,cancelled,166,312
338,2024-05-03,2024-06-09,281.9,used,393,282
339,2024-05-10,2024-06-03,481.59,used,492,204
340,2024-01-01,2024-02-17,36.64,used,306,9
341,2024-09-22,2024-10-01,496.84,used,4,154
342,2024-04-23,2024-05-07,430.75,active,396,421
343,2024-05-21,2024-07-19,285.76,cancelled,293,475
344,2024-10-19,2024-10-29,65.26,used,183,80
345,2024-03-11,2024-03-28,196.2,cancelled,128,120
346,2024-05-11,2024-07-02,164.15,cancelled,205,292
347,2024-04-21,2024-06-07,57.06,used,406,248
348,2024-03-29,2024-04-30,416.34,cancelled,360,296
349,2024-02-18,2024-03-28,328.28,active,375,414
350,2024-10-22,2024-11-16,57.67,active,472,395
351,2024-06-20,2024-07-13,442.3,used,214,477
352,2024-03-02,2024-04-27,389.79,cancelled,335,435
353,2024-01-06,2024-02-16,393.16,used,28,157
354,2024-09-25,2024-09-28,173.27,cancelled,77,168
355,2024-09-14,2024-10-29,125.98,active,345,375
356,2024-07-20,2024-08-18,381.36,cancelled,259,47
357,2024-04-23,2024-05-21,159.1,used,76,68
358,2024-06-21,2024-06-27,248.41,cancelled,26,281
359,2024-07-23,2024-08-09,60.84,cancelled,223,397
360,2024-03-07,2024-04-25,84.74,cancelled,102,250
361,2024-07-21,2024-09-01,294.24,cancelled,316,377
362,2024-09-25,2024-10-11,136.31,used,398,221
363,2024-06-14,2024-07-28,463.59,active,58,344
364,2024-07-30,2024-08-27,195.33,active,165,177
365,2024-01-13,2024-03-03,166.31,used,316,421
366,2024-08-14,2024-09-23,89.99,active,474,419
367,2024-04-29,2024-05-12,348.97,active,388,373
368,2024-02-13,2024-02-21,375.0,active,486,318
369,2024-03-16,2024-05-11,419.57,used,8,176
370,2024-02-26,2024-03-17,236.03,active,170,108
371,2024-10-02,2024-10-16,117.82,cancelled,385,133
372,2024-10-07,2024-11-07,319.06,active,356,358
373,2024-01-10,2024-02-04,299.84,cancelled,270,23
374,2024-05-10,2024-05-21,48.85,active,405,357
375,2024-05-18,2024-05-22,243.18,active,35,199
376,2024-05-18,2024-06-30,429.0,cancelled,185,443
377,2024-02-25,2024-02-27,160.4,cancelled,198,119
378,2024-07-13,2024-08-15,488.77,active,463,162
379,2024-09-05,2024-10-31,306.61,active,96,102
380,2024-09-13,2024-10-13,289.13,cancelled,12,21
381,2024-05-06,2024-07-05,274.12,used,251,202
382,2024-03-21,2024-03-23,186.45,used,182,321
383,2024-06-03,2024-06-19,498.08,cancelled,142,416
384,2024-02-01,2024-03-13,143.69,used,456,418
385,2024-01-16,2024-02-21,475.58,active,78,175
386,2024-07-20,2024-09-01,85.89,cancelled,196,267
387,2024-04-26,2024-05-23,135.37,active,219,497
388,2024-06-08,2024-08-06,310.58,used,278,68
389,2024-04-15,2024-05-27,86.52,cancelled,351,410
390,2024-04-13,2024-06-08,86.29,cancelled,362,461
391,2024-09-25,2024-11-23,84.92,active,336,478
392,2024-10-16,2024-12-14,95.86,active,286,273
393,2024-03-01,2024-03-13,172.45,active,373,16
394,2024-06-12,2024-08-08,486.99,used,156,227
395,2024-05-20,2024-05-30,393.97,active,68,95
396,2024-01-14,2024-03-03,493.26,cancelled,137,311
397,2024-10-17,2024-11-26,130.84,active,119,352
398,2024-01-14,2024-02-06,58.15,used,69,258
399,2024-08-28,2024-10-13,331.79,active,437,199
400,2024-09-08,2024-10-09,86.01,active,116,17
401,2024-07-28,2024-09-15,485.03,used,487,212
402,2024-04-23,2024-06-10,342.24,active,388,105
403,2024-02-03,2024-02-15,465.01,used,444,316
404,2024-09-07,2024-10-22,175.95,used,455,127
405,2024-08-06,2024-09-01,392.58,cancelled,377,423
406,2024-07-13,2024-08-29,170.19,cancelled,481,381
407,2024-10-19,2024-11-27,277.36,cancelled,449,361
408,2024-01-20,2024-02-23,72.47,used,424,450
409,2024-01-22,2024-03-19,498.0,cancelled,276,203
410,2024-01-21,2024-02-26,205.95,cancelled,493,26
411,2024-04-07,2024-04-26,230.99,used,397,424
412,2024-05-26,2024-06-25,99.91,used,314,471
413,2024-01-28,2024-03-13,268.15,active,238,425
414,2024-08-19,2024-08-25,366.87,active,93,399
415,2024-10-26,2024-12-23,354.13,active,202,212
416,2024-06-14,2024-07-13,31.96,used,303,460
417,2024-04-13,2024-06-09,238.25,used,166,355
418,2024-03-24,2024-05-09,371.97,active,59,362
419,2024-08-18,2024-09-28,194.21,cancelled,363,197
420,2024-09-18,2024-10-28,475.88,used,282,195
421,2024-01-23,2024-03-13,102.02,used,290,447
422,2024-03-17,2024-03-28,437.03,active,394,365
423,2024-01-27,2024-02-23,167.87,cancelled,394,493
424,2024-08-16,2024-09-04,320.7,active,461,68
425,2024-04-13,2024-04-14,318.83,used,7,235
426,2024-09-11,2024-11-05,259.35,active,312,452
427,2024-09-09,2024-09-25,124.1,cancelled,244,233
428,2024-07-28,2024-08-26,58.11,cancelled,4,126
429,2024-10-07,2024-10-25,317.49,cancelled,420,423
430,2024-04-16,2024-04-20,108.72,active,335,179
431,2024-01-19,2024-01-29,429.84,cancelled,296,430
432,2024-06-01,2024-06-23,461.78,active,56,214
433,2024-04-01,2024-04-12,342.6,cancelled,339,355
434,2024-10-20,2024-12-10,289.85,used,384,297
435,2024-07-03,2024-09-01,37.2,used,166,189
436,2024-07-13,2024-09-04,52.48,used,432,282
437,2024-02-03,2024-02-22,245.99,active,356,441
438,2024-05-20,2024-06-11,272.99,cancelled,108,357
439,2024-04-17,2024-05-27,47.93,cancelled,374,323
440,2024-09-27,2024-10-03,252.16,cancelled,310,479
441,2024-05-27,2024-06-24,312.25,used,133,270
442,2024-10-21,2024-11-30,189.85,active,315,289
443,2024-09-11,2024-10-15,370.01,used,253,414
444,2024-04-02,2024-05-29,312.51,cancelled,149,100
445,2024-01-01,2024-01-09,31.51,cancelled,408,61
446,2024-04-16,2024-06-07,315.35,used,212,24
447,2024-06-19,2024-07-12,289.0,cancelled,109,6
448,2024-04-13,2024-05-28,155.18,active,158,154
449,2024-09-16,2024-10-22,175.48,active,59,352
450,2024-06-19,2024-07-11,210.1,cancelled,316,492
451,2024-01-15,2024-03-09,104.3,used,427,174
452,2024-09-02,2024-10-31,247.76,active,331,70
453,2024-09-03,2024-09-13,321.06,cancelled,459,172
454,2024-08-24,2024-10-14,410.8,cancelled,29,428
455,2024-09-23,2024-10-13,291.17,cancelled,162,285
456,2024-10-01,2024-10-03,119.97,cancelled,170,410
457,2024-06-30,2024-07-05,485.41,used,431,16
458,2024-06-22,2024-07-17,320.73,active,293,311
459,2024-07-18,2024-07-30,305.69,used,362,440
460,2024-06-10,2024-07-26,35.18,used,45,255
461,2024-05-01,2024-05-25,236.92,used,111,269
462,2024-06-03,2024-06-15,73.87,active,399,104
463,2024-02-17,2024-03-17,262.88,used,464,257
464,2024-03-19,2024-04-01,183.26,used,376,448
465,2024-09-25,2024-10-15,392.26,active,394,447
466,2024-02-20,2024-04-13,491.49,cancelled,347,68
467,2024-04-15,2024-06-01,37.55,used,366,443
468,2024-09-24,2024-10-02,21.97,active,352,435
469,2024-02-14,2024-03-07,244.1,active,53,267
470,2024-06-08,2024-06-10,297.23,used,328,457
471,2024-04-17,2024-05-08,116.27,used,142,273
472,2024-06-12,2024-08-01,231.74,active,140,77
473,2024-03-21,2024-04-08,74.94,cancelled,287,264
474,2024-02-22,2024-03-07,280.41,cancelled,164,139
475,2024-03-13,2024-04-28,405.92,cancelled,126,88
476,2024-02-06,2024-02-26,314.37,used,277,228
477,2024-01-26,2024-02-04,33.92,cancelled,26,55
478,2024-07-15,2024-07-19,61.34,used,92,361
479,2024-08-16,2024-09-25,190.7,used,419,102
480,2024-09-30,2024-10-06,487.37,used,291,68
481,2024-02-17,2024-04-10,405.13,cancelled,240,50
482,2024-08-21,2024-09-10,348.55,cancelled,393,239
483,2024-08-28,2024-09-12,474.78,active,441,459
484,2024-05-12,2024-07-10,194.46,active,359,470
485,2024-06-18,2024-08-08,433.18,used,233,250
486,2024-01-16,2024-01-21,248.16,used,246,237
487,2024-03-28,2024-04-16,388.61,cancelled,295,66
488,2024-09-17,2024-09-24,214.73,cancelled,408,55
489,2024-06-15,2024-07-21,331.74,used,273,237
490,2024-07-24,2024-08-31,218.45,cancelled,125,281
491,2024-03-22,2024-04-22,204.23,used,107,417
492,2024-08-08,2024-09-28,490.5,cancelled,404,176
493,2024-10-05,2024-11-19,133.35,cancelled,343,40
494,2024-10-20,2024-12-13,253.58,cancelled,306,238
495,2024-06-15,2024-07-21,66.87,used,91,158
496,2024-07-26,2024-07-31,307.16,cancelled,417,306
497,2024-07-13,2024-08-03,257.26,cancelled,32,47
498,2024-04-21,2024-06-13,86.68,cancelled,463,387
499,2024-01-01,2024-02-19,90.43,active,232,273
500,2024-05-29,2024-06-23,315.47,used,101,106
501,2024-06-11,2024-07-01,293.73,cancelled,156,471
502,2024-08-10,2024-09-25,491.64,used,46,299
503,2024-01-05,2024-02-14,493.48,used,434,66
504,2024-05-30,2024-06-03,197.23,cancelled,496,28
505,2024-01-01,2024-02-16,288.81,used,57,441
506,2024-05-24,2024-07-19,34.97,used,360,303
507,2024-07-20,2024-08-30,172.7,used,208,196
508,2024-08-10,2024-09-14,121.38,active,244,72
509,2024-04-06,2024-05-12,204.61,used,431,214
510,2024-03-19,2024-04-07,498.78,cancelled,65,69
511,2024-01-06,2024-01-11,331.23,active,370,454
512,2024-09-06,2024-10-19,229.63,active,44,71
