report_id,report_reason,report_description,report_date,admin_decision,decision_date,customer_id,review_id
99,Offensive language,Automatically generated report description,2024-01-12,,,3,12661
100,Offensive language,Automatically generated report description,2024-02-28,Rejected,2025-03-01,248,7230
101,Harassment,Automatically generated report description,2024-10-09,,,365,11405
102,Spam,Automatically generated report description,2025-01-20,Rejected,2025-03-14,174,9559
103,Offensive language,Automatically generated report description,2024-06-09,,,315,17487
104,Misleading information,Automatically generated report description,2025-01-25,Rejected,2025-01-20,199,172
105,Irrelevant content,Automatically generated report description,2024-01-24,Approved,2025-01-11,465,15623
106,Misleading information,Automatically generated report description,2024-12-20,Rejected,2025-03-13,195,4755
107,Offensive language,Automatically generated report description,2024-04-19,,,339,19052
108,Misleading information,Automatically generated report description,2024-12-12,Rejected,2025-03-23,167,9452
109,Offensive language,Automatically generated report description,2025-02-15,,,385,7221
110,Misleading information,Automatically generated report description,2024-08-03,Approved,2025-03-12,333,3995
111,Spam,Automatically generated report description,2024-07-17,Approved,2025-03-13,183,4877
112,Offensive language,Automatically generated report description,2024-08-01,Rejected,2025-02-08,295,4199
113,Misleading information,Automatically generated report description,2024-12-15,Rejected,2025-02-25,17,1996
114,Offensive language,Automatically generated report description,2025-02-22,,,17,3623
115,Offensive language,Automatically generated report description,2025-01-23,Rejected,2025-02-18,237,17328
116,Spam,Automatically generated report description,2024-11-07,Rejected,2025-01-08,161,17388
117,Irrelevant content,Automatically generated report description,2024-01-03,,,28,18052
118,Harassment,Automatically generated report description,2024-09-27,,,106,10610
119,Spam,Automatically generated report description,2024-04-13,Approved,2025-03-10,323,2434
120,Offensive language,Automatically generated report description,2024-09-15,,,344,15370
121,Irrelevant content,Automatically generated report description,2024-06-03,Approved,2025-03-24,285,10334
122,Harassment,Automatically generated report description,2025-02-08,Rejected,2025-01-12,299,11073
123,Harassment,Automatically generated report description,2024-09-10,Rejected,2025-01-10,16,632
124,Offensive language,Automatically generated report description,2024-09-28,,,54,4133
125,Spam,Automatically generated report description,2024-11-30,Rejected,2025-03-26,89,5929
126,Harassment,Automatically generated report description,2024-11-28,Rejected,2025-02-03,319,9139
127,Spam,Automatically generated report description,2024-10-06,Approved,2025-03-17,431,19962
128,Misleading information,Automatically generated report description,2024-11-22,,,194,15096
129,Offensive language,Automatically generated report description,2025-01-08,Approved,2025-03-29,206,4103
130,Irrelevant content,Automatically generated report description,2024-05-17,,,354,11248
131,Misleading information,Automatically generated report description,2024-06-12,Approved,2025-03-20,177,9483
132,Misleading information,Automatically generated report description,2024-07-06,Rejected,2025-03-03,415,12777
133,Offensive language,Automatically generated report description,2024-03-03,,,486,14433
134,Harassment,Automatically generated report description,2024-06-14,,,367,6193
135,Irrelevant content,Automatically generated report description,2024-12-11,,,372,14295
136,Irrelevant content,Automatically generated report description,2024-03-20,,,71,3107
137,Spam,Automatically generated report description,2025-01-03,Approved,2025-01-04,116,9741
138,Misleading information,Automatically generated report description,2024-10-22,,,135,6799
139,Irrelevant content,Automatically generated report description,2024-04-10,Approved,2025-02-22,181,16473
140,Harassment,Automatically generated report description,2024-10-01,Rejected,2025-02-16,357,19019
141,Offensive language,Automatically generated report description,2024-05-01,Rejected,2025-03-13,38,16177
142,Spam,Automatically generated report description,2024-01-19,,,201,7265
143,Misleading information,Automatically generated report description,2024-04-24,,,478,3033
144,Irrelevant content,Automatically generated report description,2024-01-14,,,495,2397
145,Misleading information,Automatically generated report description,2025-01-16,Approved,2025-01-21,105,5757
146,Misleading information,Automatically generated report description,2024-05-18,Approved,2025-02-07,58,13813
147,Misleading information,Automatically generated report description,2024-01-27,Rejected,2025-03-18,401,10210
148,Spam,Automatically generated report description,2024-06-27,Approved,2025-02-01,435,10134
149,Offensive language,Automatically generated report description,2024-08-17,Approved,2025-01-17,236,6436
150,Irrelevant content,Automatically generated report description,2024-11-14,Rejected,2025-04-01,70,16829
151,Misleading information,Automatically generated report description,2024-01-19,Approved,2025-01-01,476,14780
152,Offensive language,Automatically generated report description,2024-02-01,Rejected,2025-02-06,497,4387
153,Offensive language,Automatically generated report description,2024-01-01,Rejected,2025-01-13,70,13691
154,Offensive language,Automatically generated report description,2024-02-23,Approved,2025-03-19,103,1934
155,Offensive language,Automatically generated report description,2024-06-06,Approved,2025-02-20,378,8351
156,Spam,Automatically generated report description,2024-03-24,Rejected,2025-03-27,27,19172
157,Spam,Automatically generated report description,2024-01-20,Approved,2025-03-16,100,12595
158,Misleading information,Automatically generated report description,2025-02-16,,,449,7698
159,Irrelevant content,Automatically generated report description,2024-02-10,,,418,7588
160,Irrelevant content,Automatically generated report description,2024-05-07,,,114,14049
161,Misleading information,Automatically generated report description,2024-11-16,Rejected,2025-03-22,320,14349
162,Harassment,Automatically generated report description,2024-01-27,Approved,2025-01-03,320,2334
163,Harassment,Automatically generated report description,2024-04-04,Approved,2025-03-17,242,16692
164,Harassment,Automatically generated report description,2024-05-15,Rejected,2025-03-04,210,181
165,Offensive language,Automatically generated report description,2024-09-15,Rejected,2025-01-03,206,4180
166,Offensive language,Automatically generated report description,2024-01-30,Approved,2025-01-11,129,13295
167,Spam,Automatically generated report description,2024-03-16,Rejected,2025-02-22,271,16393
168,Offensive language,Automatically generated report description,2024-04-21,Rejected,2025-02-26,399,11848
169,Offensive language,Automatically generated report description,2024-12-05,Approved,2025-03-01,47,12928
170,Offensive language,Automatically generated report description,2025-01-13,,,364,17626
171,Offensive language,Automatically generated report description,2024-02-15,Approved,2025-01-08,261,13632
172,Offensive language,Automatically generated report description,2024-11-15,,,452,11692
173,Misleading information,Automatically generated report description,2024-06-17,,,176,17648
174,Misleading information,Automatically generated report description,2024-11-12,,,349,10752
175,Irrelevant content,Automatically generated report description,2024-08-07,Approved,2025-01-15,498,5000
176,Irrelevant content,Automatically generated report description,2024-07-10,Approved,2025-02-23,289,13328
177,Misleading information,Automatically generated report description,2024-04-06,Rejected,2025-03-14,432,4304
178,Harassment,Automatically generated report description,2024-09-12,Approved,2025-01-30,157,7706
179,Misleading information,Automatically generated report description,2024-02-25,Rejected,2025-02-01,495,19302
180,Harassment,Automatically generated report description,2024-05-13,,,469,17852
181,Spam,Automatically generated report description,2024-11-09,Approved,2025-01-31,221,14617
182,Spam,Automatically generated report description,2024-08-30,Approved,2025-02-11,264,15842
183,Offensive language,Automatically generated report description,2025-02-03,Approved,2025-03-27,199,11332
184,Offensive language,Automatically generated report description,2024-12-16,,,207,3980
185,Irrelevant content,Automatically generated report description,2024-07-26,,,339,2424
186,Misleading information,Automatically generated report description,2024-09-17,Rejected,2025-03-10,488,3720
187,Misleading information,Automatically generated report description,2024-02-04,Rejected,2025-03-13,91,7540
188,Harassment,Automatically generated report description,2024-01-10,Rejected,2025-01-30,85,16834
189,Offensive language,Automatically generated report description,2025-02-02,Rejected,2025-02-03,205,11101
190,Irrelevant content,Automatically generated report description,2024-04-24,Rejected,2025-03-16,476,2853
191,Irrelevant content,Automatically generated report description,2024-03-27,Approved,2025-01-09,452,15171
192,Irrelevant content,Automatically generated report description,2024-12-14,,,373,13583
193,Irrelevant content,Automatically generated report description,2024-12-25,Approved,2025-01-28,458,19190
194,Irrelevant content,Automatically generated report description,2025-01-18,Approved,2025-01-17,117,9700
195,Misleading information,Automatically generated report description,2024-10-26,,,349,11687
196,Irrelevant content,Automatically generated report description,2024-02-17,Rejected,2025-02-21,170,17125
197,Spam,Automatically generated report description,2024-08-08,Approved,2025-03-09,317,4806
198,Harassment,Automatically generated report description,2024-05-23,Rejected,2025-01-04,204,14970
199,Offensive language,Automatically generated report description,2024-05-08,Rejected,2025-01-24,359,4145
200,Offensive language,Automatically generated report description,2024-02-10,,,346,9450
201,Spam,Automatically generated report description,2024-06-09,,,475,218
202,Misleading information,Automatically generated report description,2025-01-23,,,133,18024
203,Offensive language,Automatically generated report description,2025-02-20,Rejected,2025-03-24,456,4813
204,Offensive language,Automatically generated report description,2025-01-27,Approved,2025-01-21,227,15194
205,Spam,Automatically generated report description,2024-09-17,Rejected,2025-02-03,318,13513
206,Harassment,Automatically generated report description,2024-10-20,Approved,2025-01-03,35,17755
207,Offensive language,Automatically generated report description,2024-03-04,Approved,2025-03-20,260,6261
208,Irrelevant content,Automatically generated report description,2024-03-24,Rejected,2025-01-29,81,10853
209,Harassment,Automatically generated report description,2024-12-04,Approved,2025-03-21,387,14172
210,Irrelevant content,Automatically generated report description,2024-09-18,Rejected,2025-03-14,156,7626
211,Misleading information,Automatically generated report description,2025-02-23,Rejected,2025-02-17,461,539
212,Irrelevant content,Automatically generated report description,2024-07-29,,,54,17189
213,Spam,Automatically generated report description,2024-10-01,,,321,5508
214,Irrelevant content,Automatically generated report description,2024-01-09,Rejected,2025-03-20,325,1847
215,Spam,Automatically generated report description,2024-10-27,,,274,10241
216,Irrelevant content,Automatically generated report description,2025-01-19,,,22,6073
217,Irrelevant content,Automatically generated report description,2024-10-07,Rejected,2025-03-20,161,5927
218,Irrelevant content,Automatically generated report description,2024-02-05,,,201,11187
219,Spam,Automatically generated report description,2024-08-16,,,131,14640
220,Misleading information,Automatically generated report description,2024-12-16,,,71,7142
221,Misleading information,Automatically generated report description,2024-02-01,Rejected,2025-01-26,491,606
222,Misleading information,Automatically generated report description,2024-05-19,Approved,2025-02-16,498,16591
223,Spam,Automatically generated report description,2024-02-04,Rejected,2025-02-11,368,12736
224,Misleading information,Automatically generated report description,2024-01-31,,,395,9683
225,Harassment,Automatically generated report description,2024-03-24,Rejected,2025-02-10,179,7429
226,Offensive language,Automatically generated report description,2024-04-29,Rejected,2025-02-03,26,3336
227,Irrelevant content,Automatically generated report description,2024-10-22,,,66,8948
228,Misleading information,Automatically generated report description,2024-10-03,,,347,11808
229,Misleading information,Automatically generated report description,2024-12-15,Approved,2025-03-10,330,10913
230,Irrelevant content,Automatically generated report description,2025-02-27,Approved,2025-02-19,296,6753
231,Harassment,Automatically generated report description,2024-11-06,Rejected,2025-03-28,456,14669
232,Harassment,Automatically generated report description,2024-06-16,,,435,6844
233,Harassment,Automatically generated report description,2024-03-20,Approved,2025-02-24,129,12545
234,Misleading information,Automatically generated report description,2024-07-05,,,170,2228
235,Spam,Automatically generated report description,2025-02-11,Rejected,2025-01-02,165,15443
236,Irrelevant content,Automatically generated report description,2024-01-15,,,409,13960
237,Irrelevant content,Automatically generated report description,2025-02-23,Approved,2025-02-06,297,14494
238,Spam,Automatically generated report description,2024-05-06,,,441,1882
239,Harassment,Automatically generated report description,2025-01-28,Rejected,2025-03-24,441,2122
240,Offensive language,Automatically generated report description,2024-01-02,,,317,17234
241,Irrelevant content,Automatically generated report description,2024-04-29,Rejected,2025-03-08,190,18205
242,Offensive language,Automatically generated report description,2024-02-06,,,498,4117
243,Misleading information,Automatically generated report description,2025-01-12,,,466,16599
244,Misleading information,Automatically generated report description,2024-11-27,Rejected,2025-03-17,155,8948
245,Spam,Automatically generated report description,2024-01-24,Rejected,2025-02-02,203,15941
246,Misleading information,Automatically generated report description,2024-07-27,,,469,3506
247,Offensive language,Automatically generated report description,2024-12-01,Rejected,2025-01-13,171,604
248,Harassment,Automatically generated report description,2024-05-28,Approved,2025-02-22,245,10773
249,Harassment,Automatically generated report description,2024-06-06,Approved,2025-01-20,165,7411
250,Irrelevant content,Automatically generated report description,2024-06-21,Approved,2025-02-18,493,150
251,Harassment,Automatically generated report description,2024-03-10,Rejected,2025-03-07,180,13555
252,Misleading information,Automatically generated report description,2024-03-10,Approved,2025-01-21,41,11695
253,Harassment,Automatically generated report description,2024-02-04,Rejected,2025-02-20,379,15
254,Misleading information,Automatically generated report description,2025-01-08,Rejected,2025-01-12,123,17184
255,Misleading information,Automatically generated report description,2025-01-23,Rejected,2025-03-21,468,2220
256,Misleading information,Automatically generated report description,2024-03-15,Rejected,2025-03-02,282,7697
257,Irrelevant content,Automatically generated report description,2025-02-05,Approved,2025-02-11,219,11488
258,Irrelevant content,Automatically generated report description,2024-12-25,,,7,6962
259,Irrelevant content,Automatically generated report description,2024-11-20,Approved,2025-02-03,206,9618
260,Misleading information,Automatically generated report description,2024-03-03,,,301,17426
261,Harassment,Automatically generated report description,2024-12-20,,,138,7599
262,Harassment,Automatically generated report description,2024-08-29,Rejected,2025-01-30,275,8757
263,Harassment,Automatically generated report description,2024-08-30,Approved,2025-01-30,310,18651
264,Irrelevant content,Automatically generated report description,2024-12-27,Approved,2025-02-28,293,13110
265,Spam,Automatically generated report description,2025-02-09,,,14,2812
266,Irrelevant content,Automatically generated report description,2024-11-20,Approved,2025-03-11,353,3715
267,Harassment,Automatically generated report description,2024-12-30,Rejected,2025-01-21,166,16328
268,Misleading information,Automatically generated report description,2024-11-13,,,159,9945
269,Harassment,Automatically generated report description,2024-02-10,,,274,2273
270,Irrelevant content,Automatically generated report description,2024-05-03,Approved,2025-01-30,175,8100
271,Offensive language,Automatically generated report description,2025-01-29,Approved,2025-01-04,473,9326
272,Harassment,Automatically generated report description,2024-03-09,,,276,18011
273,Spam,Automatically generated report description,2024-01-19,,,230,15821
274,Misleading information,Automatically generated report description,2024-03-28,Approved,2025-01-04,21,12588
275,Irrelevant content,Automatically generated report description,2024-06-19,Approved,2025-03-19,177,3515
276,Harassment,Automatically generated report description,2024-02-04,,,4,18191
277,Irrelevant content,Automatically generated report description,2024-06-08,,,410,9646
278,Harassment,Automatically generated report description,2024-02-22,Approved,2025-02-28,136,11665
279,Irrelevant content,Automatically generated report description,2024-05-14,Approved,2025-03-08,156,15853
280,Offensive language,Automatically generated report description,2025-02-26,Rejected,2025-02-08,86,6749
281,Spam,Automatically generated report description,2025-01-11,Rejected,2025-03-12,148,7816
282,Irrelevant content,Automatically generated report description,2024-11-17,Rejected,2025-03-18,70,9132
283,Misleading information,Automatically generated report description,2024-04-12,Rejected,2025-02-19,197,7188
284,Spam,Automatically generated report description,2024-07-15,Approved,2025-01-10,33,2747
285,Irrelevant content,Automatically generated report description,2024-02-25,Approved,2025-01-02,208,807
286,Harassment,Automatically generated report description,2024-12-28,,,186,597
287,Irrelevant content,Automatically generated report description,2024-03-18,Approved,2025-02-27,63,13781
288,Spam,Automatically generated report description,2024-04-26,,,196,5431
289,Misleading information,Automatically generated report description,2025-02-04,Approved,2025-02-24,187,6934
290,Misleading information,Automatically generated report description,2025-02-27,Approved,2025-03-29,77,13437
291,Misleading information,Automatically generated report description,2024-02-28,Approved,2025-03-02,149,11488
292,Offensive language,Automatically generated report description,2025-02-23,Rejected,2025-02-20,126,3535
293,Irrelevant content,Automatically generated report description,2024-05-20,Rejected,2025-03-22,70,765
294,Irrelevant content,Automatically generated report description,2025-02-27,,,477,8461
295,Harassment,Automatically generated report description,2024-07-19,,,483,8705
296,Irrelevant content,Automatically generated report description,2024-06-27,,,188,13339
297,Offensive language,Automatically generated report description,2024-07-26,Rejected,2025-02-13,461,8356
298,Offensive language,Automatically generated report description,2024-06-18,Rejected,2025-01-02,218,1903
299,Irrelevant content,Automatically generated report description,2024-10-29,,,106,12641
300,Spam,Automatically generated report description,2024-08-05,Approved,2025-03-01,178,12392
301,Harassment,Automatically generated report description,2024-07-18,,,220,14306
302,Irrelevant content,Automatically generated report description,2024-06-15,Rejected,2025-01-17,14,8178
303,Irrelevant content,Automatically generated report description,2024-04-29,Rejected,2025-02-15,198,18644
304,Irrelevant content,Automatically generated report description,2024-11-20,Approved,2025-02-12,455,19765
305,Irrelevant content,Automatically generated report description,2024-12-26,,,25,4657
306,Harassment,Automatically generated report description,2024-08-07,,,75,17694
307,Spam,Automatically generated report description,2024-07-27,,,499,17972
308,Irrelevant content,Automatically generated report description,2024-04-13,Approved,2025-02-09,191,13957
309,Spam,Automatically generated report description,2024-08-22,Rejected,2025-01-08,309,7729
310,Irrelevant content,Automatically generated report description,2024-10-10,Approved,2025-01-19,147,11088
311,Irrelevant content,Automatically generated report description,2024-06-01,Approved,2025-01-07,359,6121
312,Irrelevant content,Automatically generated report description,2024-09-13,Approved,2025-03-10,432,17828
313,Offensive language,Automatically generated report description,2024-11-21,Approved,2025-01-10,454,5737
314,Irrelevant content,Automatically generated report description,2024-01-25,,,420,7961
315,Irrelevant content,Automatically generated report description,2024-05-28,Rejected,2025-01-16,90,17240
316,Offensive language,Automatically generated report description,2024-05-08,Approved,2025-02-22,291,18884
317,Misleading information,Automatically generated report description,2024-10-08,Rejected,2025-01-27,494,12530
318,Offensive language,Automatically generated report description,2024-02-19,,,451,19893
319,Misleading information,Automatically generated report description,2024-09-27,Rejected,2025-03-04,260,439
320,Misleading information,Automatically generated report description,2024-09-19,Rejected,2025-03-31,115,6588
321,Spam,Automatically generated report description,2024-03-31,Approved,2025-01-27,56,7016
322,Harassment,Automatically generated report description,2024-07-06,Rejected,2025-02-08,332,1865
323,Misleading information,Automatically generated report description,2024-12-11,Approved,2025-01-09,445,13220
324,Irrelevant content,Automatically generated report description,2024-12-11,Rejected,2025-01-27,245,489
325,Offensive language,Automatically generated report description,2024-02-19,,,101,15781
326,Spam,Automatically generated report description,2024-09-29,Approved,2025-03-11,86,15920
327,Irrelevant content,Automatically generated report description,2024-05-25,Approved,2025-02-15,325,178
328,Offensive language,Automatically generated report description,2024-05-18,Approved,2025-03-13,57,10877
329,Spam,Automatically generated report description,2024-01-23,Approved,2025-03-20,363,12776
330,Spam,Automatically generated report description,2024-09-25,Rejected,2025-03-29,244,19543
331,Offensive language,Automatically generated report description,2025-01-08,,,215,15191
332,Offensive language,Automatically generated report description,2024-03-26,Rejected,2025-03-17,148,15324
333,Harassment,Automatically generated report description,2024-03-19,Approved,2025-01-10,167,9628
334,Spam,Automatically generated report description,2025-02-08,Rejected,2025-01-07,226,12169
335,Offensive language,Automatically generated report description,2024-09-08,Rejected,2025-01-14,383,17576
336,Spam,Automatically generated report description,2024-09-20,Rejected,2025-02-09,163,11295
337,Spam,Automatically generated report description,2025-01-14,Rejected,2025-01-22,338,5512
338,Harassment,Automatically generated report description,2025-02-08,Approved,2025-02-20,452,19304
339,Harassment,Automatically generated report description,2025-01-16,,,68,8512
340,Harassment,Automatically generated report description,2024-10-13,,,282,267
341,Misleading information,Automatically generated report description,2024-07-15,Approved,2025-01-16,47,305
342,Misleading information,Automatically generated report description,2024-10-21,Approved,2025-01-14,395,8029
343,Offensive language,Automatically generated report description,2024-05-09,Rejected,2025-02-09,388,6269
344,Offensive language,Automatically generated report description,2024-01-16,Rejected,2025-03-19,160,11350
345,Irrelevant content,Automatically generated report description,2024-09-04,Rejected,2025-02-01,138,17025
346,Offensive language,Automatically generated report description,2025-01-22,Rejected,2025-03-24,427,5766
347,Misleading information,Automatically generated report description,2024-06-21,Approved,2025-03-30,63,10028
348,Offensive language,Automatically generated report description,2024-12-15,,,493,2244
349,Harassment,Automatically generated report description,2025-02-01,Approved,2025-01-19,152,14009
350,Irrelevant content,Automatically generated report description,2025-01-18,,,163,4031
351,Offensive language,Automatically generated report description,2024-12-28,Rejected,2025-01-06,142,14267
352,Harassment,Automatically generated report description,2024-02-29,Rejected,2025-01-07,448,5534
353,Misleading information,Automatically generated report description,2024-03-21,,,158,18578
354,Irrelevant content,Automatically generated report description,2024-11-15,Rejected,2025-01-13,449,17751
355,Spam,Automatically generated report description,2024-11-26,Approved,2025-01-07,345,18524
356,Misleading information,Automatically generated report description,2024-12-06,Rejected,2025-01-16,30,8962
357,Spam,Automatically generated report description,2024-03-14,Approved,2025-03-24,277,3700
358,Offensive language,Automatically generated report description,2025-02-16,Approved,2025-04-01,100,8702
359,Harassment,Automatically generated report description,2024-02-10,Rejected,2025-01-18,168,8284
360,Irrelevant content,Automatically generated report description,2024-04-17,Rejected,2025-02-13,60,9435
361,Harassment,Automatically generated report description,2024-08-09,,,290,8817
362,Spam,Automatically generated report description,2024-12-06,Rejected,2025-02-27,286,4631
363,Offensive language,Automatically generated report description,2024-02-05,Rejected,2025-03-23,113,17932
364,Irrelevant content,Automatically generated report description,2024-07-01,Rejected,2025-01-16,364,9965
365,Offensive language,Automatically generated report description,2024-02-13,,,388,9671
366,Spam,Automatically generated report description,2024-03-30,Approved,2025-01-28,382,4597
367,Offensive language,Automatically generated report description,2025-02-21,Rejected,2025-01-13,49,14446
368,Harassment,Automatically generated report description,2024-01-13,Approved,2025-01-14,221,1056
369,Spam,Automatically generated report description,2024-04-23,Rejected,2025-02-10,86,17843
370,Spam,Automatically generated report description,2024-12-11,Rejected,2025-02-07,10,8534
371,Harassment,Automatically generated report description,2024-08-31,Approved,2025-03-17,393,1007
372,Irrelevant content,Automatically generated report description,2024-05-03,,,217,14636
373,Harassment,Automatically generated report description,2024-06-05,Rejected,2025-01-20,451,14834
